﻿,1
от,64
времени,6
скатывается,1
к,117
бойне,2
было,42
немного,5
не,227
по,73
себе,26
когда,45
двое,2
с,159
ружьями,1
и,506
с,159
собакой,2
начали,1
медленно,4
приближаться,1
диким,1
уткам,1
и,506
какие,13
они,31
живые,3
таинственный,2
неба,7
чертеж,2
начинает,5
с,159
тобой,5
говорить,5
но,81
язык,4
его,69
увы,2
племя,1
человеческое,1
забыло,1
воздух,7
наполнен,3
золотым,1
отсветом,1
осенней,2
листвы,3
гдето,8
невдалеке,1
купола,5
храма,1
как,135
тоненькие,1
свечи,1
загорелись,1
за,67
полем,1
все,89
больнее,2
врезаются,2
в,683
душу,4
бесконечных,1
очередей,1
которые,13
как,135
змеи,2
лаокоона,1
обвили,1
нам,10
руки,12
и,506
ноги,4
и,506
давят,1
на,244
горло,1
ржавая,3
кольчуга,3
дон,4
кихота,2
заставляет,3
прямо,2
держаться,1
от,64
усталости,1
упасть,2
вы,23
навсегда,3
отлучены,2
от,64
наших,5
улыбок,5
ценить,2
каждый,5
миг,5
счастья,5
быть,12
с,159
тобой,5
и,506
с,159
детишками,2
устав,2
поднять,2
голову,2
и,506
замереть,2
перед,9
красотой,4
золотой,7
березы,5
в,683
этом,16
вероятно,4
и,506
есть,19
предназначение,3
человека,10
рублевская,5
синь,8
просвет,3
в,683
темных,4
тучах,3
вновь,5
узрит,2
лазурность,3
и,506
необъятность,4
небосвода,5
руси,7
и,506
осыпал,1
нас,18
золотой,7
метелью,1
листопада,1
золотой,7
век,3
только,39
потому,11
что,134
прикинулся,1
не,227
поэтом,4
парня,6
из,80
эстонской,8
глуши,5
настигла,7
судьба,17
русского,19
поэта,35
вытекающими,4
последствиями,4
я,157
на,244
земле,7
уже,18
никогда,6
не,227
встречу,2
какие,13
страшные,2
слова,18
за,67
крепким,3
замком,3
границы,3
примерно,3
то,40
же,53
самое,3
что,134
посылать,2
сигналы,1
в,683
безмолвный,2
космос,1
существующим,1
ли,25
братьям,1
по,73
разуму,1
за,67
родом,2
цветет,1
быстро,1
бросает,2
семя,1
и,506
уходит,3
в,683
жизни,29
или,39
ктото,9
собирает,3
золотые,6
зерна,2
сеятель,3
сеятель,3
соли,1
на,244
улицах,4
города,6
между,10
тем,15
зарастает,1
бурьяном,1
в,683
сердцах,3
буйствует,1
чертополох,1
но,81
нельзя,4
отнять,2
молитву,1
внимательно,5
смотреть,4
и,506
улыбнуться,1
тогда,11
земляника,1
покажется,1
березовая,2
роща,3
всю,2
зиму,1
спасала,2
меня,27
своим,10
светом,3
а,92
ныне,2
увидеться,1
с,159
ней,10
не,227
удалось,1
гербовые,1
заботы,2
как,135
писал,7
пушкин,6
в,683
дерпт,1
языкову,1
душа,8
так,51
тиха,2
свой,9
голос,5
заглушенный,2
веком,2
капельки,4
росы,3
играющие,2
всеми,4
красками,3
радуги,2
струна,2
ожидания,2
так,51
натянута,1
что,134
басок,1
шмеля,1
кажется,7
началом,1
неведомого,1
разговора,1
я,157
освободил,1
изпод,1
упавшего,1
дерева,4
выпрямившись,1
укрыл,1
меня,27
от,64
посторонних,1
взглядов,1
искривлены,1
в,683
нашей,4
коммунальной,1
квартире,1
как,135
только,39
выходишь,1
на,244
солнечный,5
свет,14
